nome,indicacoes,contraIndicacoes,efeitosAdversos,reproducao,superdosagem,farmacodinamica,farmacocinetica,monitoramento
"Adrenalina","Arritmias e paradas cardiorrespiratórias, pela alteração da frequência e o ritmo de contrações cardíacas; Hipotensão e choque; Reações de hipersensibilidade agudas e graves.","Contraindicado para pacientes hipertensos, diabéticos. Uso com cautela em pacientes cardiopatas, com fibrilação cardíaca e hipovolemia.","Tremor, ansiedade, tensão, agitação, fraqueza, vertigem, palidez, dificuldade respiratória e taquicardia.","Não deve ser usada em fêmeas gestantes ou em trabalho de parto.","Em altas doses, pode levar a estimulação excessiva da musculatura cardíaca, provocando taquicardia e fibrilação ventricular, podendo ocasionar o óbito do paciente.","A epinefrina é um hormônio que ativa receptores alfa e beta no corpo, com efeitos diferentes dependendo da forma como é administrada. A administração rápida aumenta a taxa cardíaca e a contratilidade, enquanto a administração lenta pode diminuir a pressão diastólica.","Bem absorvido após a administração IM ou SC (início de 5-10 min). Ação imediata via IV. Não atravessa a barreira hematoencefálica, mas atravessa a placenta e é distribuída no leite materno.","Frequência cardíaca e frequência respiratória devem ser observadas durante o uso da medicação."
"Amoxicilina","Aminopenicilina de amplo espectro, indicada para infecções bacterianas causadas por cocos Gram-positivos e Gram-negativos. Usada em piodermites, infecções do trato respiratório, urinário e no pré e pós-operatório.","Não deve ser administrada a pacientes com histórico de hipersensibilidade à penicilinas e cefalosporinas. Não administrar em pacientes com septiciemia ou choque.","Altas doses podem causar neurotoxicidade (ex: ataxia em cães). Outros efeitos relatados são dispneia, edema, taquicardia e, raramente, reações alérgicas.","O uso seguro durante a gestação não foi estabelecido, mas pode ser usada se os benefícios potenciais superarem os riscos. É excretada no leite em quantidades mínimas.","Pouco provável que ocorram problemas graves. As reações mais comuns são enjoo, êmese e diarreia.","Impede a síntese da parede celular dos microorganismos, inibindo a enzima transpeptidase, o que conduz à morte da célula bacteriana.","Relativamente estável em ácido gástrico. Cerca de 74-92% é absorvida após administração oral. As meias-vidas de eliminação em cães e gatos são de 45-90 minutos.","Deve ser monitorada a eficácia do tratamento, caso não haja melhora do paciente, nova terapia deve ser estabelecida."
"Antisedan","Indicado para reverter os efeitos sedativos e analgésicos da medetomidina e da dexmedetomidina, em cães e gatos, incluindo os efeitos cardiovasculares e respiratórios.","O uso concomitante de outras drogas com efeito sobre o sistema nervoso central não é recomendado.","Cães: Efeito hipotensivo passageiro, vômito, respiração ofegante e tremores musculares. Gatos: Possível hipotermia.","Não usar em cadelas e gatas prenhes.","Pode-se observar um estado de hiperexcitação e taquicardia. Recomenda-se minimizar estímulos externos.","","","Os animais devem ser monitorados para hipotermia persistente, bradicardia e depressão respiratória, até completa recuperação."
"Bionew","Indicado nos casos de esgotamento físico por excesso de exercícios, intoxicações, anorexia, convalescenças, anemias, estresse e como coadjuvante no tratamento de doenças infecciosas. É um excelente reparador muscular.","","Efeitos colaterais como taquicardia, taquipnéia, tremores musculares e sudorese podem ocorrer, sendo transitórios. Ocasionalmente reações alérgicas podem ocorrer.","","","","",""
"Borgal","Quimioterápico indicado para bovinos, equinos e ovinos no tratamento de infecções bacterianas primárias e secundárias, tais como: diarreia, mastite, pododermatite, broncopneumonia.","O abate dos animais tratados deve ser realizado 5 dias após a última aplicação. O leite não deve ser destinado ao consumo humano até 48 horas após a última aplicação. Não aplicar em equinos produtores de carne.","","","","","",""
"Ceftriaxona","Cefalosporina de 3ª geração, com espectro de ação maior contra bactérias gram-negativas.","Contra-indicada a pacientes com hipersensibilidade conhecida às cefalosporinas ou penicilinas.","Geralmente segura, mas raramente pode ocorrer alergia e reação cruzada com penicilinas. Registros de episódios eméticos, sialorreia, taquipnéia, diarreia e anorexia.","O uso seguro durante a gestação não foi estabelecido, mas não existem relatos de problemas fetais. A avaliação do clínico é fundamental.","Discrasias sanguíneas podem ocorrer em tratamentos longos. Causa nefrotoxicidade em humanos em uso prolongado.","A atividade bactericida se deve à inibição da síntese da parede celular. É altamente estável à maioria das betalactamases.","Farmacocinética não linear. 50-60% é excretada de forma inalterada na urina, e 40-50% na bile.","Pode causar anemia hemolítica imunomediada e depressão medular. Deve ser monitorada a eficácia do tratamento."
"Ciprofloxacino","Pode ser usada como alternativa da enrofloxacina. Utilizada em infecções no trato urinário, respiratório, gastrintestinais, prostatites, endocardite, otite externa e piodermite.","Evitar o uso em animais jovens por poder causar lesão na cartilagem. Contraindicado a pacientes com hipersensibilidade a quinolonas.","Ocasionalmente pode causar náuseas, êmese e diarreia. Pode causar artropatia em animais jovens e alterações da espermatogênese em tratamentos prolongados.","Evitar o uso durante gestação e lactação.","Altas concentrações podem causar toxicidade no SNC, especialmente em animais com insuficiência renal.","Atua inibindo a DNAgirase bacteriana, evitando a síntese do DNA. Tem boa atividade contra muitos bacilos e cocos gram-negativos.","Bem absorvida por via oral. 15-50% da droga é eliminada inalterada na urina. Pacientes com função renal gravemente prejudicada podem não requerer ajuste de dose.","Pacientes com insuficiência renal devem ser monitorados para o aparecimento de cristalúria, hematúria ou nefrite intersticial."
"Dexametasona","Corticóide usado no tratamento de dermatoses, condições inflamatórias, doenças auto-imunes, traumas e edemas. Imunossupressão.","Usar com cautela em animais com úlcera, infecções, diabéticos, com insuficiência renal, cardiopatas e com pancreatite. Evitar retirada brusca em terapia crônica.","Podem ocorrer polifagia, poliúria, polidipsia, ulceração gastrintestinal, diabetes, hiperlipidemia e diminuição de síntese proteica.","A segurança do uso durante a gestação não foi estabelecida. Usar apenas se os benefícios justificarem os riscos. Não recomendado para lactantes.","O uso prolongado pode conduzir a complicações sistêmicas como insuficiência adrenal iatrogênica e hipercortisolismo iatrogênico.","É um anti-inflamatório esteroide potente (30x mais que a hidrocortisona). Age inibindo a cascata do ácido araquidônico ao bloquear enzimas como a fosfolipase A-2.","A biotransformação ocorre principalmente no fígado. São excretados por via renal. Parte dos metabólitos é excretada pelo intestino.","Pode interferir em exames de colesterol, glicosúria, hormônios tireoidianos e testes alérgicos. Os sinais de infecção podem ser ocultados pelo uso do medicamento."
"Dexdomitor","Sedação e analgesia em cães e gatos para procedimentos pouco a moderadamente dolorosos. Medicação pré-anestésica.","Não utilizar em animais com doenças cardiovasculares, respiratórias, hepáticas ou renais, ou com menos de 2 Kg. Não usar em idosos.","Provoca diminuição da frequência cardíaca e respiratória e da temperatura corporal. A pressão sanguínea tende a se elevar no início. Vômito é frequente.","Não utilizar em fêmeas prenhes ou lactantes, ou em animais destinados à reprodução.","O antagonista apropriado é o atipamezole.","","","A função cardiovascular e respiratória deve ser adequadamente monitorada. Manter os animais em ambiente quente até a total recuperação. Pode ocorrer redução do reflexo de piscar."
"Diazepam","Indicado para reduzir a agressividade, promover miorrelaxamento, atuar como anticonvulsivante e na pré-anestesia e indução anestésica.","Não administrar em animais com hipersensibilidade aos benzodiazepínicos. Usar com cautela em animais com insuficiência hepática ou pulmonar.","Baixa incidência. Podem ocorrer ataxia, agitação, excitação, sonolência, irritabilidade e incoordenação motora.","Não deve ser usada por fêmeas gestantes, lactantes ou destinada a reprodução.","A superdose pode levar à arreflexia, apneia, hipotensão, depressão cardiorrespiratória e coma.","Deprime os níveis subcorticais do SNC, produzindo efeitos ansiolíticos, sedativos, relaxantes musculares e anticonvulsivantes.","Altamente lipossolúvel e amplamente distribuído. Atravessa a barreira hematoencefálica. Metabolizado no fígado e eliminado principalmente na urina.",""
"Dipirona","Analgésico indicado para dores crônicas, agudas, pré e pós-operatório, dores ortopédicas e neuropáticas.","Não administrar a animais com hipersensibilidade à dipirona. Cuidado em pacientes nefropatas, hepatopatas ou com histórico de convulsão.","Efeitos colaterais incluem agranulocitose, leucopenia e convulsões. Pode provocar hipotermia grave quando associado a clorpromazina.","","Em animais hipersensíveis, a administração IV pode causar choque anafilático.","Exerce sua ação analgésica através da inibição de COX 3 e, em menor grau, de COX1 e COX2, diminuindo a produção de prostaglandina E2 no SNC.","Em cães, a meia-vida é de cerca de 5-6 horas. É bem absorvida e a excreção é feita principalmente pela urina.","A condição hematológica do animal deve ser controlada em tratamentos prolongados."
"Enrofloxacina","Antibiótico com ação contra bactérias gram-negativas e algumas gram-positivas (E. coli, Klebsiella, Staphylococcus, etc.). Indicado para infecções no trato genito-urinário, dérmicas e respiratórias.","Evitar o uso em animais jovens por poder causar lesão na cartilagem. Contraindicado em pacientes com hipersensibilidade a quinolonas.","Ocasionalmente pode causar náuseas, êmese e diarreia. Pode ocorrer cegueira em gatos devido à degeneração da retina com doses de 20 mg/kg.","Evitar o uso durante gestação e lactação.","Altas concentrações podem causar toxicidade no SNC. Doses 10x superiores à recomendada podem levar ao óbito.","Inibe as topoisomerases bacterianas do tipo II (DNA girase), impedindo o enrolamento do DNA e causando a morte da bactéria.","Bem absorvida após administração oral (biodisponibilidade de ~80% em cães). Amplamente distribuída pelo corpo. 15-50% é eliminado inalterado na urina.","Pacientes com insuficiência renal devem ser monitorados. Em terapias prolongadas, recomenda-se hidratação adequada e acidificação da urina."
"Furosemida","Diurético de alça nefrética.","Contraindicada em pacientes com anúria. Cautela em portadores de diabetes mellitus e disfunções hepáticas.","Desidratação, hipocalemia, azotemia pré-renal, ototoxicidade, colapso circulatório e insuficiência renal. Gatos são mais propensos a sinais adversos.","Cautela no uso em gestação e lactação. É excretada no leite.","Em doses altas pode causar ototoxicidade e redução da função renal.","Bloqueia o sistema co-transportador de Na+K+2Cl no ramo ascendente da alça nefrética, inibindo a reabsorção de cloreto de sódio.","Em cães, a biodisponibilidade oral é de ~77%. O efeito diurético ocorre em 5 min (IV) e 1 hora (oral). Eliminada principalmente na forma inalterada pelos rins.","Pode ocasionar anemia e leucopenia. Monitorar a hidratação, eletrólitos e sinais de ototoxicidade."
"Lidocaina","Usada localmente como anestésico e no tratamento de arritmia ventricular. Analgesia sistêmica.","Usar com cautela em gatos (maiores efeitos no SNC). Contra-indicada em bloqueio cardíaco completo e hipersensibilidade à droga.","Excitação no SNC, agitação, desorientação, tremores musculares, convulsão, vômito. Pode causar arritmia cardíaca.","Pode atravessar a barreira placentária e causar depressão no feto. Usar doses menores se necessário.","Felinos são muito sensíveis; a superdosagem pode levar ao óbito. Pode acarretar perda da consciência, convulsões e coma.","Agente antidisrítmico da classe IB. Estabiliza as membranas interagindo com os canais de sódio inativos. Tem efeitos analgésicos e antioxidantes.","Não é eficaz via oral. Ação em ~2 minutos via IV, com duração de 10-20 minutos. Rapidamente metabolizada no fígado.","O paciente deve ser observado continuamente para detectar possíveis sinais de intoxicação."
"Meloxicam","Anti-inflamatório não estereoidal (AINE). Utilizado em dores osteoarticulares, inflamação do trato genitourinário, lesões traumáticas e pós-cirúrgico.","","Efeitos adversos mais comuns são relativos ao sistema gastrintestinal (êmese, inapetência, gastrite, úlceras). Pode agravar quadros de doenças renais e hepáticas.","Não é indicado para uso durante gestação ou lactação.","Em doses altas pode causar úlcera duodenal, peritonite, hepatotoxicidade e morte. Apresenta pequena margem de segurança.","Inibidor preferencial da COX2, com excelentes propriedades analgésicas/antipiréticas.","Meia-vida em cães varia de 12 a 36 horas. Bem absorvido pelo trato gastrintestinal, com biodisponibilidade de ~90% após administração oral.","Monitorar o surgimento de efeitos adversos, principalmente os gastrintestinais. Em uso prolongado, monitorar função renal e hepática."
"Metadona","Analgésico opioide para dores de curta duração, sedação e como adjuvante anestésico.","Contraindicado a pacientes com hipersensibilidade ou função respiratória comprometida. Uso cauteloso em pacientes com insuficiência cardíaca, idosos e hepatopatas.","Sedação, depressão respiratória, bradicardia, retenção urinária, êmese, náusea, constipação.","O uso seguro durante a gestação e lactação não foi estabelecido.","Pode aumentar os efeitos adversos, colocando em risco a vida do paciente (depressão respiratória, hipotensão, bradicardia).","Agonista do receptor mu e inibidor dos receptores NMDA. Pode ser mais eficaz que a morfina para dor neuropática ou crônica.","Após a absorção, distribui-se por vários tecidos. Metabolizada no fígado e excretada em grande parte pelos rins.","Monitorar frequência cardíaca, respiratória, pressão arterial, temperatura e motilidade intestinal."
"Metronidazol","Tratamento de infecções por bactérias anaeróbicas (Clostridium, Bacteroides, etc.) e protozoários (Giardia, Trichomonas).","Não usar em animais muito debilitados. Ajustar a dose em portadores de insuficiência hepática ou renal.","Pode provocar glossite, estomatite, náusea e êmese. Toxicidade neurológica em dosagens elevadas. Pode causar neutropenia e hepatotoxicidade.","Pode ser excretado no leite. Não é recomendado seu uso durante gestação ou lactação.","Em humanos, sintomas relatados foram: êmese, ataxia e desorientação leve. Não existe antídoto específico.","Antimicrobiano concentração-dependente. A ação antiprotozoária se dá pela quebra da estrutura do DNA do protozoário.","Biotransformado no fígado. Grande parte é excretada na urina em sua forma ativa.",""
"Omeprazol","Tratamento de úlceras gástricas ou duodenais. Suporte gástrico durante tratamentos medicamentosos.","Ajustar a dose em pacientes com insuficiência hepática ou renal.","Pode ocasionar sonolência.","Não usar em gestantes ou lactantes.","Altas doses podem provocar distúrbios gastrintestinais, incoordenação motora, ataxia, taquicardia e febre.","Age por inibição da bomba de prótons (H+K+ATPase) na célula parietal do estômago, inibindo a formação de ácido.","Metabolizado no fígado. Excretado principalmente na urina. A meia-vida em cães é de ~1 hora, mas o efeito pode persistir por 24-72 horas.","Monitoramento da regressão da úlcera por endoscopia, se possível."
"Propofol","Alquifenol sedativo. Anestesia geral de curta duração ou medicação pré-anestésica.","Não deve ser usado em animais hipotensos. Usar com cautela em portadores de choque, hepatopatia, hipoproteinemia, hiperlipidemia e cardiopatas.","Apneia e depressão respiratória são os sinais mais comuns. Pode ocorrer movimentos musculares espontâneos.","O uso em gestantes e lactantes deve ser cauteloso e bem avaliado pelo clínico.","Altas doses intensificam os sinais adversos (depressão cardiorespiratória, apneia).","Promove depressão dose-dependente da função cerebral, pela potencialização da transmissão GABAérgica.","Após administração IV, atravessa rapidamente a barreira hematoencefálica com início de ação em ~1 minuto. Duração de 2-5 minutos. Rapidamente biotransformado no fígado.","Há relatos de discrasias sanguíneas. Monitorar sinais vitais durante a anestesia."
