medicamento,especie,dose_recomendada_mg_kg,concentracao_mg_ml
Acebrofilina,Canina,15.0,25.0
Acebrofilina,Felina,12.0,25.0
Acebrofilina,Equina,10.0,25.0
Acebrofilina,Bovino,8.0,25.0
Acebrofilina,Mamíferos,13.0,25.0
Acebrofilina,Aves,10.0,25.0
Acebrofilina,Répteis,9.0,25.0
Acebrofilina,Roedores,11.0,25.0
Acetato de dexametasona,Canina,0.2,4.0
Acetato de dexametasona,Felina,0.25,4.0
Acetato de dexametasona,Equina,0.15,4.0
Acetato de dexametasona,Bovino,0.1,4.0
Acetato de dexametasona,Mamíferos,0.2,4.0
Acetato de dexametasona,Aves,0.05,4.0
Acetato de dexametasona,Répteis,0.07,4.0
Acetato de dexametasona,Roedores,0.09,4.0
Albenza (Albendazol),Canina,25.0,50.0
Albenza (Albendazol),Felina,20.0,50.0
Albenza (Albendazol),Equina,10.0,50.0
Albenza (Albendazol),Bovino,7.5,50.0
Albenza (Albendazol),Mamíferos,22.0,50.0
Albenza (Albendazol),Aves,12.0,50.0
Albenza (Albendazol),Répteis,10.0,50.0
Albenza (Albendazol),Roedores,15.0,50.0
Amoxicilina,Canina,10.0,50.0
Amoxicilina,Felina,12.0,50.0
Amoxicilina,Equina,15.0,50.0
Amoxicilina,Bovino,8.0,50.0
Amoxicilina,Mamíferos,11.0,50.0
Amoxicilina,Aves,9.0,50.0
Amoxicilina,Répteis,8.5,50.0
Amoxicilina,Roedores,10.0,50.0
Ansiolítico (Diazepam),Canina,0.5,5.0
Ansiolítico (Diazepam),Felina,0.3,5.0
Ansiolítico (Diazepam),Equina,0.25,5.0
Ansiolítico (Diazepam),Bovino,0.2,5.0
Ansiolítico (Diazepam),Mamíferos,0.4,5.0
Ansiolítico (Diazepam),Aves,0.1,5.0
Ansiolítico (Diazepam),Répteis,0.15,5.0
Ansiolítico (Diazepam),Roedores,0.2,5.0
Apomorfina,Canina,0.05,1.0
Apomorfina,Felina,0.03,1.0
Apomorfina,Equina,0.02,1.0
Apomorfina,Bovino,0.015,1.0
Apomorfina,Mamíferos,0.04,1.0
Apomorfina,Aves,0.01,1.0
Apomorfina,Répteis,0.012,1.0
Apomorfina,Roedores,0.02,1.0
Avermectina,Canina,0.006,1.0
Avermectina,Felina,0.004,1.0
Avermectina,Equina,0.002,1.0
Avermectina,Bovino,0.002,1.0
Avermectina,Mamíferos,0.005,1.0
Avermectina,Aves,0.001,1.0
Avermectina,Répteis,0.0015,1.0
Avermectina,Roedores,0.002,1.0
Betametasona,Canina,2.0,5.0
Betametasona,Felina,0.25,4.0
Betametasona,Equina,0.15,4.0
Betametasona,Bovino,0.1,4.0
Betametasona,Mamíferos,0.2,4.0
Betametasona,Aves,0.05,4.0
Betametasona,Répteis,0.07,4.0
Betametasona,Roedores,0.09,4.0
Bupivacaína,Canina,2.0,5.0
Bupivacaína,Felina,1.5,5.0
Bupivacaína,Equina,1.0,5.0
Bupivacaína,Bovino,0.8,5.0
Bupivacaína,Mamíferos,1.8,5.0
Bupivacaína,Aves,0.5,5.0
Bupivacaína,Répteis,0.6,5.0
Bupivacaína,Roedores,1.0,5.0
Butorfanol,Canina,0.2,10.0
Butorfanol,Felina,0.3,10.0
Butorfanol,Equina,0.1,10.0
Butorfanol,Bovino,0.1,10.0
Butorfanol,Mamíferos,0.25,10.0
Butorfanol,Aves,0.05,10.0
Butorfanol,Répteis,0.08,10.0
Butorfanol,Roedores,0.15,10.0
Captopril,Canina,0.5,25.0
Captopril,Felina,0.4,25.0
Captopril,Equina,0.3,25.0
Captopril,Bovino,0.2,25.0
Captopril,Mamíferos,0.45,25.0
Captopril,Aves,0.1,25.0
Captopril,Répteis,0.15,25.0
Captopril,Roedores,0.3,25.0
Carprofeno,Canina,4.0,50.0
Carprofeno,Felina,2.0,50.0
Carprofeno,Equina,1.5,50.0
Carprofeno,Bovino,1.0,50.0
Carprofeno,Mamíferos,3.5,50.0
Carprofeno,Aves,0.8,50.0
Carprofeno,Répteis,1.0,50.0
Carprofeno,Roedores,2.0,50.0
Cefalexina,Canina,30.0,50.0
Cefalexina,Felina,25.0,50.0
